eps,min_samples,n_clusters,noise_ratio,largest_cluster
0.06889333361230306,4,2475,0.4836364364685147,1978
0.1993579222698052,3,2013,0.09693959301394008,6609
0.10249210318457294,7,866,0.5020829995193078,2437
0.23736263010675585,5,898,0.13066816215350105,7109
0.09819411500113695,4,2168,0.3396490946963628,2410
0.0745515864822972,6,1177,0.5922728729370293,2124
0.21622253442498124,3,1833,0.0811368370453453,6648
0.08065686332489881,5,1607,0.4981974042621375,2167
0.08585366163154781,5,1595,0.4605431821823426,2396
0.1698765583041687,5,1029,0.22288094856593493,6281
0.22491240816749292,3,1759,0.07606954013779843,7315
0.08928693314291465,7,950,0.5573025156224964,2287
0.11206473458001896,4,1962,0.3004726806601506,4212
0.20548096764823554,6,763,0.20453452972280084,6612
0.24436528521219347,6,688,0.15251962826470117,7503
0.15014823724046847,4,1599,0.21284649895850025,5501
0.07877950051025016,3,4074,0.31765742669443997,2250
0.05278725754164031,4,2349,0.5883071623137318,1992
0.09593120599977106,7,922,0.5255568017945842,2265
0.0763644435573042,7,888,0.6329113924050633,2177
0.1855317347225715,7,634,0.26606313090850825,5650
0.07436650092570624,4,2470,0.4482454734818138,2130
0.1512659863241266,6,874,0.2969876622336164,5218
0.18885248712857733,3,2118,0.10228729370293223,6403
0.16622332184418048,6,833,0.2670445441435667,6183
0.08995513033201152,5,1587,0.44524114725204295,2212
0.21082490523645253,6,776,0.19566175292421087,6411
0.19308142592316035,6,794,0.21977647812850504,7115
0.19779680078310835,7,612,0.250721038295145,6444
0.07621155031146265,5,1635,0.5190674571382792,2177
0.07475076073006892,4,2442,0.4429778881589489,2161
0.23551251020130154,5,863,0.13427335362922607,6600
0.12951563876498812,3,2888,0.18342413074827751,4656
0.11018973835618795,3,3297,0.22195962185547188,3961
0.14771680907030665,5,1182,0.26848662073385676,4885
0.1825728425527165,7,645,0.2732134273353629,5640
0.241124651409394,5,885,0.1239985579234097,5997
0.107289245376411,6,1029,0.4313611600705015,2406
0.23496168586240546,3,1634,0.06919964749238904,6757
0.05497189827725127,5,1424,0.6600104149975965,2016
0.16103960846536494,6,820,0.27848101265822783,5609
0.17679502233621702,4,1424,0.1692036532606954,6333
0.07117948075015067,3,4313,0.3526678416920365,2100
0.07806791941278253,3,4225,0.3155343694920686,2222
0.13382286386326075,7,806,0.38074827751962825,4363
0.24324638242863633,6,669,0.15682582919403942,5979
0.1692085106468746,4,1503,0.18015942957859318,6371
0.23660464432004225,4,1223,0.09537734337445922,6759
0.21087218312259415,3,1896,0.08464188431341131,6655
0.1434763203110583,7,740,0.3581156865886877,4686
0.20695268985043752,3,1895,0.0877062970677776,6502
0.05356735679539755,6,928,0.726385995834001,1993
0.071828799353147,4,2574,0.4569379907066175,2207
0.2158857229765473,4,1260,0.12291700048069219,6745
0.20936341766503236,4,1287,0.126341932382631,7270
0.09652814839328674,7,928,0.5216712065374138,2347
0.15615391811981072,3,2496,0.14218474603428938,5572
0.1712031641400022,4,1525,0.1756929979170005,5590
0.22354779075520226,4,1247,0.11218154141964429,7296
0.17062143146774514,4,1481,0.17809645890081718,5535
0.13251431385473605,3,2805,0.18039977567697485,5553
